stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,wheelchair_boarding
33486,33486,CAMP WISDOM @ PASTOR BAILEY - E - MB,CAMP WISDOM @ PASTOR BAILEY -Eastbound -Mid Block (not near the intersection),32.662495,-96.876394,,,0
33487,33487,CAMP WISDOM @ DEL REY - W - MB,CAMP WISDOM @ DEL REY -Westbound -Mid Block (not near the intersection),32.662701,-96.876201,,,0
33489,33489,FIELD @ JACKSON - N - NS,FIELD @ JACKSON -Northbound -Near Side (before the intersection),32.779007,-96.800492,,,0
33494,33494,FIELD @ PATTERSON - S - MB,FIELD @ PATTERSON -Southbound -Mid Block (not near the intersection),32.783121,-96.801901,,,0
33495,33495,SINGLETON @ ESMALDA - E - NS,SINGLETON @ ESMALDA -Eastbound -Near Side (before the intersection),32.778842,-96.880949,,,0
33501,33501,KIRNWOOD @ WESTMORELAND - N - MB,KIRNWOOD @ WESTMORELAND -Northbound -Mid Block (not near the intersection),32.648766,-96.869558,,,0
33506,33506,KIRNWOOD @ CLIFF CREEK CROSSING - N - NS,KIRNWOOD @ CLIFF CREEK CROSSING -Northbound -Near Side (before the intersection),32.652692,-96.869627,,,0
33511,33511,CHESTERFIELD @ KIRNWOOD - N - FS,CHESTERFIELD @ KIRNWOOD -Northbound -Far Side (after the intersection),32.654208,-96.869565,,,0
33512,33512,CAMP WISDOM @ WESTMORELAND - W - NS,CAMP WISDOM @ WESTMORELAND -Westbound -Near Side (before the intersection),32.662122,-96.881486,,,0
33513,33513,CAMP WISDOM @ AMERICAN WAY - W - NS,CAMP WISDOM @ AMERICAN WAY -Westbound -Near Side (before the intersection),32.662129,-96.883888,,,0
33514,33514,CAMP WISDOM @ COCKRELL HILL - W - MB,CAMP WISDOM @ COCKRELL HILL -Westbound -Mid Block (not near the intersection),32.662087,-96.890128,,,0
33515,33515,COCKRELL HILL @ WREN - N - NS,COCKRELL HILL @ WREN -Northbound -Near Side (before the intersection),32.664103,-96.891203,,,0
33516,33516,COCKRELL HILL @ FAIRWOOD - N - NS,COCKRELL HILL @ FAIRWOOD -Northbound -Near Side (before the intersection),32.665842,-96.891217,,,0
33517,33517,COCKRELL HILL @ SUN VALLEY  - N - NS,COCKRELL HILL @ SUN VALLEY -Northbound -Near Side (before the intersection),32.668308,-96.891274,,,0
33518,33518,COCKRELL HILL @ CORRALL - N -NS,COCKRELL HILL @ CORRALL -Northbound -NS,32.670119,-96.891298,,,0
33519,33519,COCKRELL HILL @ RED BIRD - N - NS,COCKRELL HILL @ RED BIRD -Northbound -Near Side (before the intersection),32.676323,-96.891286,,,0
33520,33520,JOSEPH HARDIN @ EXCHANGE SERVICE - E - FS,JOSEPH HARDIN @ EXCHANGE SERVICE -Eastbound -Far Side (after the intersection),32.693447,-96.898563,,,0
33521,33521,JOSEPH HARDIN @ COUNTRY CREEK - S - NS,JOSEPH HARDIN @ COUNTRY CREEK -Southbound -Near Side (before the intersection),32.692891,-96.89868,,,0
33522,33522,COCKRELL HILL @ RED BIRD - S - FS,COCKRELL HILL @ RED BIRD -Southbound -Far Side (after the intersection),32.676286,-96.891511,,,0
33523,33523,COCKRELL HILL @ CORRALL - S - MB,COCKRELL HILL @ CORRALL -Southbound -Mid Block (not near the intersection),32.671203,-96.891525,,,0
33524,33524,CAMP WISDOM @ INDEPENDENCE - E - NS,CAMP WISDOM @ INDEPENDENCE -Eastbound -Near Side (before the intersection),32.661854,-96.889367,,,0
33525,33525,CAMP WISDOM @ AMERICAN WAY - E - NS,CAMP WISDOM @ AMERICAN WAY -Eastbound -Near Side (before the intersection),32.661922,-96.884295,,,0
33532,33532,ARCHERWOOD @ EXCHANGE - N - FS,ARCHERWOOD @ EXCHANGE -Northbound -Far Side (after the intersection),33.032711,-96.701825,,,0
33539,33539,BOEDEKER @ NORTHWEST - S - NS,BOEDEKER @ NORTHWEST -Southbound -Near Side (before the intersection),32.86572,-96.776584,,,0
33541,33541,KIRNWOOD @ CLIFF CREEK CROSSING - S - NS,KIRNWOOD @ CLIFF CREEK CROSSING -Southbound -Near Side (before the intersection),32.653015,-96.869853,,,0
33543,33543,WOOD @ RECORD - W - FS,WOOD @ RECORD -Westbound -Far Side (after the intersection),32.776755,-96.806494,,,0
33544,33544,CAMP WISDOM @ INDEPENDENCE - W - MB,CAMP WISDOM @ INDEPENDENCE -Westbound -Mid Block (not near the intersection),32.662081,-96.887212,,,0
33545,33545,SPRING @ SWANSON - W- FS,SPRING @ SWANSON -Westbound-Far Side (after the intersection),32.772024,-96.745443,,,0
33549,33549,SAMMONS CANCER CENTER,SAMMONS CANCER CENTER,32.787705,-96.778503,,,0
33554,33554,ROBERTS HOSPITAL,ROBERTS HOSPITAL,32.78974,-96.779501,,,0
33555,33555,BAYLOR MEDICAL PLAZA,BAYLOR MEDICAL PLAZA,32.790627,-96.778846,,,0
33566,33566,HIDDEN RIDGE STATION,HIDDEN RIDGE STATION,32.882109,-96.955159,,,0
33579,33579,CAMPBELL @ LAUDER - W - MB,CAMPBELL @ LAUDER -Westbound -Mid Block (not near the intersection),32.978405,-96.76997,,,0
33580,33580,CAMPBELL @ FALLKIRK - W - FS,CAMPBELL @ FALLKIRK -Westbound -Far Side (after the intersection),32.978396,-96.773254,,,0
33581,33581,COCKRELL HILL @ EXCHANGE - N - MB,COCKRELL HILL @ EXCHANGE -Northbound -Mid Block (not near the intersection),32.69384,-96.891216,,,0
33582,33582,COCKRELL HILL @ LEDBETTER - MB - S,COCKRELL HILL @ LEDBETTER -Mid Block (not near the intersection) -Southbound,32.693813,-96.89157,,,0
33586,33586,WALNUT HILL @ ESTATE - W - FS,WALNUT HILL @ ESTATE -Westbound -Far Side (after the intersection),32.878974,-96.692651,,,0
33595,33595,CYPRESS WATERS STATION,CYPRESS WATERS STATION,32.950699,-96.983242,,,0
33596,33596,ADDISON STATION,ADDISON STATION,32.958982,-96.828258,,,0
33597,33597,KNOLL TRAIL STATION,KNOLL TRAIL STATION,32.962884,-96.817617,,,0
33598,33598,UT DALLAS STATION,UT DALLAS STATION,32.996459,-96.750008,,,0
33599,33599,12TH STREET STATION,12TH STREET STATION,33.01436,-96.701066,,,0
33600,33600,SHILOH RD STATION,SHILOH RD STATION,33.012603,-96.665722,,,0
33616,33616,ABRAMS @ LA VISTA - S - FS,ABRAMS @ LA VISTA -Southbound -Far Side (after the intersection),32.81264,-96.751767,,,0
33621,33621,SYLVAN @ SINGLETON - S - MB,SYLVAN @ SINGLETON -Southbound -Mid Block (not near the intersection),32.77945,-96.835938,,,0
33622,33622,TI @ G DRIVE - S - FS,TI @ G DRIVE -Southbound -Far Side (after the intersection),32.931042,-96.748843,,,0
33623,33623,FIELD @ OLIVE - N - NS,FIELD @ OLIVE -Northbound -Near Side (before the intersection),32.789914,-96.807552,,,0
33624,33624,CEDAR SPRINGS @ CRESCENT - N - FS,CEDAR SPRINGS @ CRESCENT -Northbound -Far Side (after the intersection),32.793912,-96.805073,,,0
33625,33625,GRIFFIN @ FIELD - N - MB,GRIFFIN @ FIELD -Northbound -Mid Block (not near the intersection),32.784384,-96.803802,,,0
33626,33626,CEDAR SPRINGS @ CARLISLE - S - NS,CEDAR SPRINGS @ CARLISLE -Southbound -Near Side (before the intersection),32.800724,-96.805677,,,0
33630,33630,MCKINNEY @ CAROLINE - S - NS,MCKINNEY @ CAROLINE -Southbound -Near Side (before the intersection),32.787871,-96.804533,,,0
33633,33633,FIELD @ ALAMO - N - MB,FIELD @ ALAMO -Northbound -Mid Block (not near the intersection),32.788121,-96.806241,,,0
