SERVICE_ID,BLOCK_ID,PULLOUTTIME,PULLINTIME
3,10403,18360,92460
3,10404,19080,91680
3,10601,15480,91380
3,10602,17280,91020
3,10801,13320,90120
3,10802,15120,91920
3,10803,15120,91980
3,10804,16920,90180
3,10901,14580,91140
3,10902,16380,90420
3,10903,18180,89340
3,11401,17280,91620
3,11402,18180,88860
3,11403,19080,89820
3,11404,25380,90660
3,12201,14100,90540
3,12801,12780,90180
3,12802,14580,91980
3,12803,16380,91320
3,14101,13680,91980
3,14102,15480,89700
3,14501,15120,88620
3,14502,16920,90420
3,14503,17220,90300
3,14504,18720,92220
3,14701,14820,91200
3,14702,15720,90540
3,14703,16620,93000
3,14704,17520,89400
3,14705,23820,69720
3,20001,15300,94320
3,20002,15600,70860
3,20003,24300,92220
3,20004,34500,91980
3,20051,56400,73320
3,20201,13500,68640
3,20202,13800,93840
3,20203,24600,72840
3,20301,16020,70980
3,20302,32820,91320
3,20401,14460,91320
3,20402,32820,68520
3,20501,15000,90060
3,20502,15180,90900
3,20701,15000,87000
3,20702,17700,91200
3,21201,14100,91080
3,21301,16260,90000
3,21401,13620,91800
3,21402,16020,90360
3,21403,32820,74040
3,21501,17040,90720
3,21502,17460,89580
3,21601,17280,89340
3,21602,15240,91020
3,21701,15660,69780
3,21702,35520,90600
3,21801,15120,90540
3,21802,12360,93840
3,21803,30840,73560
3,21901,17700,93180
3,22001,13980,93540
3,22101,16500,89940
3,22102,16920,90660
3,22301,15120,91560
3,22401,15300,90000
3,22402,18540,92700
3,22403,18780,71700
3,22404,34500,91200
3,22601,15900,89520
3,22701,16080,89520
3,22702,17460,91200
3,22703,18780,78840
3,22704,32880,94800
3,22705,35580,71820
3,22801,13320,90180
3,22802,14220,91620
3,22901,16980,89220
3,22902,16080,88620
3,22903,18780,92220
3,22904,20580,69420
3,22905,35580,92820
3,23001,16980,89580
3,23002,15180,73800
3,23003,15300,91200
3,23004,33780,94800
3,23005,35100,72540
3,23101,16980,90660
3,23102,17820,67020
3,23103,33420,89820
3,23201,15660,71820
3,23202,16800,70560
3,23203,32460,90900
3,23204,33600,92220
3,23301,12900,75180
3,23302,16500,70980
3,23303,34860,91800
3,23304,36300,93600
3,23401,15720,46860
3,23402,16020,45480
3,23403,32520,66060
3,23421,42120,75660
3,23422,42480,74820
3,23451,61320,92220
3,23501,16080,46980
3,23502,32880,63780
3,23551,44880,70860
3,23552,61680,91260
3,23601,16080,44580
3,23602,16620,34260
3,23603,32880,64680
3,23621,40320,62280
3,23622,30720,63060
3,23651,59280,91620
3,23652,58920,91860
3,23653,61680,91980
3,23701,16080,85380
3,23702,14400,92880
3,23703,19680,70980
3,23704,37680,88980
3,23801,15600,90840
3,23802,16260,94440
3,23803,17100,72660
3,23804,32400,93060
3,23901,15180,91380
3,23902,18360,87780
3,23903,18960,91380
3,23904,34920,67260
3,23905,38340,89940
3,24101,15720,45420
3,24102,18240,43020
3,24103,19320,50220
3,24104,32520,64620
3,24105,35040,71700
3,24121,44640,64740
3,24122,42240,73980
3,24123,49440,62220
3,24151,61320,92100
3,24152,61440,90780
3,24153,63840,94380
3,24201,16020,91260
3,24202,31080,69180
3,24301,17400,91740
3,24401,15600,83160
3,24402,17100,88980
3,24501,15600,71640
3,24502,16020,91260
3,24503,32820,92040
3,24701,16020,92520
3,24702,15300,70200
3,24703,26820,74940
3,24704,37620,91740
3,24901,15000,90840
3,24902,17100,91020
3,25001,15600,71880
3,25002,15300,72060
3,25003,32400,92340
3,25004,32100,92160
3,25101,16020,91380
3,88301,22860,56160
3,88302,23160,57960
3,88351,51660,86040
3,88352,53460,86760
3,88401,23160,54180
3,88402,23160,52980
3,88451,50760,85380
3,88452,49560,86580
4,101,13140,89520
4,102,13440,90660
4,103,14940,88860
4,104,34140,73740
4,105,35580,71940
4,106,35940,70140
4,301,13200,90960
4,302,15000,89460
4,303,16800,69660
4,304,33000,91260
4,305,34800,70260
4,501,14580,80220
4,502,19320,92040
4,901,13200,89160
4,902,13080,88920
4,903,15000,69420
4,904,14880,90720
4,905,25680,71820
4,906,33900,72060
4,907,34680,90960
4,908,35700,70140
4,909,36480,70260
4,1301,13680,88440
4,1302,15480,74340
4,1303,17280,70740
4,1304,32880,92040
4,1305,36480,90240
4,1501,12720,94560
4,1502,12420,94380
4,1503,14520,92580
4,1504,14220,71760
4,1505,31920,92760
4,1506,31620,70440
4,1601,12420,89880
4,1602,14220,88740
4,1603,16020,90540
4,1604,17820,92340
4,1605,32820,71940
4,1701,12300,72960
4,1702,14100,92700
4,1703,15900,94500
4,1704,17700,93360
4,1705,19800,71700
4,1706,34200,95160
4,1707,33900,70740
4,1801,12420,88080
4,1802,14220,72120
4,1803,16080,86280
4,1804,16020,69900
4,1805,17820,89520
4,1806,26820,91680
4,1807,34020,89880
4,1808,35280,68700
4,1809,37620,93480
4,2001,12360,92220
4,2002,15000,68220
4,2003,14160,91980
4,2004,16800,90420
4,2005,15960,68880
4,2006,31560,72780
